                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6372,                 3.6907,                 2.0274,                0.00321,                0.96364,                0.62792,                0.34441,                 1.1486,                 4.2097,                 1.9911,                 0.0739,                 0.0029,                 0.0029
                      1,                 1.2621,                 2.1217,                 1.6346,                 0.0033,                0.94545,                0.75152,                0.36026,                 1.6464,                 3.0919,                 2.2982,               0.046666,              0.0056664,              0.0056664
                      2,                 1.1765,                 1.7307,                 1.5436,                0.25162,                0.67273,                0.40407,                0.20699,                 1.6611,                 2.9807,                 2.3004,               0.019195,              0.0081951,              0.0081951
                      3,                 1.2462,                 1.7546,                 1.6059,                0.85864,                0.83636,                0.83954,                0.54429,                 1.3281,                 2.2041,                  2.101,               0.008812,               0.008812,               0.008812
                      4,                 1.2548,                  1.598,                 1.5881,                 0.8314,                0.80699,                0.79764,                0.42903,                 1.6379,                  2.538,                 2.1881,               0.008812,               0.008812,               0.008812
                      5,                 1.2085,                 1.5338,                 1.5813,                0.78927,                0.76364,                0.77908,                0.47248,                 1.2906,                 2.1211,                 2.0601,               0.008416,               0.008416,               0.008416
                      6,                 1.1422,                 1.4225,                 1.4923,                0.65576,                  0.762,                0.66568,                 0.3652,                 1.5407,                 2.5955,                 2.1746,                0.00802,                0.00802,                0.00802
                      7,                 1.1841,                 1.3408,                 1.4821,                0.82488,                0.87273,                0.82989,                0.53149,                 1.4087,                 1.5898,                 1.9175,               0.007624,               0.007624,               0.007624
                      8,                 1.1746,                 1.3343,                 1.4909,                0.87252,                 0.8711,                0.82576,                0.47641,                 1.3794,                 1.4915,                 1.8591,               0.007228,               0.007228,               0.007228
                      9,                 1.1192,                 1.2626,                 1.4824,                0.88789,                0.89091,                0.86276,                0.56583,                 1.2701,                  1.465,                  1.875,               0.006832,               0.006832,               0.006832
                     10,                 1.0609,                 1.1303,                 1.4184,                0.86765,                0.87273,                0.81008,                0.54447,                 1.2723,                 1.2427,                 1.8474,               0.006436,               0.006436,               0.006436
                     11,                  1.069,                  1.104,                 1.4158,                0.86946,                0.89091,                0.83743,                0.56652,                 1.0197,                 1.1823,                 1.5609,                0.00604,                0.00604,                0.00604
                     12,                 1.0425,                 1.1356,                 1.3994,                0.85071,                0.83636,                0.84292,                0.57274,                 1.0447,                   1.16,                 1.5601,               0.005644,               0.005644,               0.005644
                     13,                  1.033,                 1.0686,                  1.379,                0.85858,                0.87273,                0.83322,                 0.5753,                0.98848,                 1.1536,                 1.4905,               0.005248,               0.005248,               0.005248
                     14,                  1.011,                 1.0106,                 1.3844,                0.85275,                0.85455,                0.81541,                0.56744,                 1.0282,                 1.0716,                 1.5064,               0.004852,               0.004852,               0.004852
                     15,                 1.1177,                 1.2203,                 1.6309,                0.88839,                0.89091,                0.85712,                0.58116,                  1.085,                 1.0778,                 1.5919,               0.004456,               0.004456,               0.004456
                     16,                 1.0366,                 1.1391,                 1.5135,                0.88848,                0.89091,                0.84605,                0.61244,                 0.9534,                 1.0568,                 1.5164,                0.00406,                0.00406,                0.00406
                     17,                 1.0019,                 1.0756,                  1.528,                0.88832,                0.89091,                0.86685,                0.63975,                0.95933,                 1.0391,                 1.5319,               0.003664,               0.003664,               0.003664
                     18,                 1.0341,                  1.046,                 1.5551,                 0.8908,                 0.8899,                0.88706,                0.67477,                0.91595,                 1.0083,                 1.4165,               0.003268,               0.003268,               0.003268
                     19,                0.95242,                 1.0061,                 1.4686,                0.85682,                0.87049,                0.83523,                 0.6259,                0.96441,                 1.0333,                 1.4693,               0.002872,               0.002872,               0.002872
                     20,                0.93356,                 1.0161,                  1.474,                0.85305,                0.87273,                0.82183,                0.59858,                 0.9378,                 1.0181,                 1.4544,               0.002476,               0.002476,               0.002476
                     21,                0.91961,                0.97901,                 1.4143,                0.85237,                0.87273,                0.83238,                0.63773,                0.89551,                 0.9753,                  1.411,                0.00208,                0.00208,                0.00208
                     22,                0.90769,                0.95654,                 1.3903,                0.83128,                0.87273,                0.84478,                0.63418,                0.91093,                0.95894,                 1.3867,               0.001684,               0.001684,               0.001684
                     23,                0.91097,                0.93833,                 1.3742,                 0.8657,                0.87273,                0.85139,                0.63518,                0.91512,                0.94306,                 1.3746,               0.001288,               0.001288,               0.001288
                     24,                0.93075,                0.89528,                  1.387,                0.86748,                0.87273,                0.82711,                 0.6401,                0.88423,                0.95845,                  1.353,               0.000892,               0.000892,               0.000892
